Absolute Path,Best Solution Raw
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID17.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID4.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID11.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID9.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID8.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID37.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID13.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID38.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID24.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID42.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID5.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID44.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID48.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID0.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID40.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID30.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID12.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID31.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID39.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID18.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID20.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID14.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID10.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID45.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID15.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID22.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
/home/garrett/coding/Ising_Model_Instances/data/4D/DRL/256/DRL_4_ID7.txt,ERROR: Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
